time,sigma,output_effective_labor,capital_effective_labor,consumption_effective_labor,wage_productivity,ai_services_effective_labor,capability,ai_service_price,output_per_person_growth,wage_growth,consumption_per_person_growth,net_interest,labor_income_share,inference_output_share,research_output_share,profit_output_share,seed_time,capability_frontier_ratio,ai_services_counterfactual_ratio
-10.0,1.5,170959423.57808053,380911917.04559106,14241886.251025531,211853.5569007025,114580787189.91353,1002.185120714239,0.0009978196436276347,0.05815595439690955,0.04212377452405825,0.058109332515354516,0.09810933251535452,0.0012392037389149524,0.668760796261085,0.0,0.0,180.0,0.9,1.0
-9.97999999999999,1.5,171124156.54112348,381279875.61061764,14255596.14759957,211989.71081166755,114691262997.87341,1002.185120714239,0.0009978196436276347,0.058155582157296104,0.042123519858078315,0.05810897524589461,0.09810897524589461,0.0012388064613234398,0.6687611935386765,0.0,0.0,180.02,0.9,1.0
-9.960000000000008,1.5,171289046.9624387,381648186.4780923,14269319.140009236,212125.95114569485,114801844446.78714,1002.185120714239,0.0009978196436276347,0.058155210040834834,0.04212326527643449,0.058108618094663715,0.09810861809466372,0.0012384093140071657,0.6687615906859928,0.0,0.0,180.04,0.9,1.0
-9.939999999999998,1.5,171454094.99172089,382016849.98332036,14283055.240699166,212262.27795730135,114912531637.11511,1002.185120714239,0.0009978196436276347,0.058154838047483746,0.042123010779097955,0.058108261061621445,0.09810826106162145,0.0012380122969215227,0.6687619877030784,0.0,0.0,180.06,0.9,1.0
-9.919999999999987,1.5,171619300.77880114,382385866.4619184,14296804.462125445,212398.69130103273,115023324669.40974,1002.185120714239,0.0009978196436276347,0.05815446617719891,0.04212275636603857,0.058107904146725474,0.09810790414672547,0.0012376154100219299,0.668762384589978,0.0,0.0,180.08,0.9,1.0
-9.900000000000006,1.5,171784664.47365692,382755236.24982446,14310566.816755958,212535.19123147512,115134223644.31921,1002.185120714239,0.0009978196436276347,0.058154094429938845,0.04212250203722787,0.058107547349935916,0.09810754734993592,0.0012372186532638204,0.6687627813467362,0.0,0.0,180.1,0.9,1.0
-9.879999999999995,1.5,171950186.22640607,383124959.6832965,14324342.317070616,212671.77780324462,115245228662.588,1002.185120714239,0.0009978196436276347,0.058153722805660155,0.04212224779263608,0.05810719067121097,0.09810719067121097,0.0012368220266026381,0.6687631779733973,0.0,0.0,180.12,0.9,1.0
-9.860000000000014,1.5,172115866.18730882,383495037.09891057,14338130.975561112,212808.45107099405,115356339825.05653,1002.185120714239,0.0009978196436276347,0.05815335130431987,0.04212199363223374,0.0581068341105092,0.0981068341105092,0.0012364255299938498,0.668763574470006,0.0,0.0,180.14,0.9,1.0
-9.840000000000003,1.5,172281704.5067672,383865468.8335578,14351932.80473067,212945.2110894088,115467557232.65883,1002.185120714239,0.0009978196436276347,0.058152979925876126,0.0421217395559921,0.058106477667790334,0.09810647766779033,0.0012360291633929377,0.668763970836607,0.0,0.0,180.16,0.9,1.0
-9.819999999999993,1.5,172447701.33532903,384236255.22445863,14365747.817094928,213082.05791321228,115578880986.42712,1002.185120714239,0.0009978196436276347,0.058152608670285905,0.04212148556388167,0.05810612134301298,0.09810612134301298,0.001235632926755392,0.6687643670732445,0.0,0.0,180.18,0.9,1.0
