sigma,time,output_counterfactual_ratio,consumption_counterfactual_ratio,wage_counterfactual_ratio,capital_counterfactual_ratio,price_counterfactual_ratio
0.9,0.0,0.6762031752117801,0.8829812301165519,0.6337203273260351,1.0,131.13854883522453
0.9,0.01,0.6761273254541443,0.8826954950446664,0.6336558838319825,0.9994687065413849,131.03483646739454
0.9,0.02,0.6760514835934146,0.882410102572603,0.6335914304298841,0.998938150357415,130.9314134634225
0.9,0.03,0.6759756499583982,0.8821250522603388,0.6335269674955327,0.9984083302465794,130.82827853106954
0.9,0.04,0.6758998248756619,0.8818403436686396,0.6334624954022616,0.9978792450101279,130.72543038616627
0.9,0.05,0.6758240086695305,0.88155597635906,0.6333980145209448,0.9973508934520708,130.62286775258488
0.9,0.06,0.6757482016622839,0.8812719498939129,0.6333335252202138,0.996823274379083,130.52058936179935
0.9,0.07,0.6756724041739491,0.880988263836301,0.6332690278662273,0.9962963866005957,130.41859395328729
0.9,0.08,0.6755966165226464,0.8807049177500632,0.633204522823055,0.9957702289286336,130.31688027377805
0.9,0.09,0.6755208390235343,0.8804219111999396,0.633140010451506,0.9952448001783178,130.21544707944122
0.9,0.1,0.6754450719905495,0.8801392437512974,0.6330754911110599,0.9947200991670211,130.11429313219665
0.9,0.11,0.6753693157358727,0.8798569149702158,0.6330109651592731,0.994196124714625,130.01341720081192
0.9,0.12,0.6752935705682689,0.8795749244237461,0.6329464329499374,0.9936728756443228,129.9128180643652
0.9,0.125,0.6752557022382012,0.8794340558533772,0.6329141646088035,0.9934115227603536,129.86262191441003
0.9,0.13,0.6752178367950815,0.8792932716795978,0.6328818948352919,0.9931503507816477,129.812494508023
0.9,0.14,0.6751421147224232,0.8790119563061082,0.632817351166235,0.9926285489543759,129.71244532261198
0.9,0.15,0.6750664046532028,0.8787309778725536,0.6327528022901342,0.9921074689934887,129.61266930874348
0.9,0.16,0.6749907068883196,0.8784503359489597,0.6326882485521512,0.9915871097325796,129.51316527426616
0.9,0.17,0.674915021727682,0.8781700301059416,0.6326236902963722,0.9910674700073648,129.4139320321126
0.9,0.18,0.6748393494686385,0.8778900599149515,0.6325591278640662,0.9905485486564406,129.31496840356192
0.9,0.19,0.6747636904058611,0.8776104249482954,0.6324945615935554,0.9900303445213356,129.21627321845472
0.9,0.2,0.6746880448330287,0.8773311247788687,0.6324299918220831,0.9895128564456908,129.1178453116414
0.9,0.21,0.6746124130420138,0.8770521589802827,0.6323654188849112,0.9889960832756535,129.0196835246638
0.9,0.22,0.6745367953215671,0.8767735271270739,0.6323008431138587,0.9884800238605125,128.9217867084786
0.9,0.23,0.674461191959217,0.8764952287944023,0.632236264839412,0.9879646770517712,128.82415371945828
0.9,0.24,0.6743856032412524,0.8762172635580546,0.6321716843907026,0.9874500417031558,128.72678341940758
0.9,0.25,0.6743100294508858,0.8759396309947338,0.6321071020934709,0.9869361166715042,128.62967467937278
0.9,0.26,0.6742344708696278,0.875662330681842,0.6320425182715892,0.9864229008160932,128.5328263767468
0.9,0.27,0.6741589277780305,0.8753853621973617,0.6319779332478876,0.985910392998277,128.4362373936961
0.9,0.28,0.6740834004540927,0.8751087251201102,0.6319133473423844,0.98539859208226,128.3399066204636
0.9,0.29,0.674007889173483,0.8748324190297003,0.6318487608725314,0.9848874969349832,128.24383295487746
0.9,0.3,0.6739323942109658,0.8745564435063177,0.6317841741547987,0.9843771064254293,128.14801529935522
0.9,0.31,0.6738569158394524,0.8742807981308687,0.631719587503619,0.9838674194250818,128.0524525628643
0.9,0.32,0.6737814543290298,0.8740054824851354,0.6316550012303115,0.9833584348083947,127.95714366291327
0.9,0.33,0.6737060099487253,0.8737304961514946,0.6315904156450385,0.9828501514519299,127.86208752185954
0.9,0.34,0.673630582966302,0.8734558387129502,0.6315258310565792,0.9823425682344562,127.76728306731383
0.9,0.35000000000000003,0.673555173646605,0.8731815097533957,0.6314612477704936,0.981835684037749,127.67272923555463
0.9,0.36,0.6734797822530374,0.8729075088573792,0.6313966660907604,0.9813294977458702,127.57842496843847
0.9,0.37,0.6734044090480682,0.8726338356100233,0.6313320863203404,0.9808240082449222,127.48436921232617
0.9,0.375,0.6733667293476453,0.8724971217251689,0.6312997972450439,0.9805715244437193,127.43743419875065
0.9,0.38,0.6733290542916001,0.8723604895972773,0.6312675087593657,0.9803192144238168,127.39056092143971
0.9,0.39,0.6732537182416152,0.8720874704058349,0.631202933705853,0.9798151151740191,127.29699905652743
0.9,0.4,0.6731784011551684,0.8718147776229467,0.6311383614568103,0.9793117093889778,127.20368258274348
0.9,0.41000000000000003,0.6731031032874549,0.8715424108365886,0.6310737923071994,0.9788089959646347,127.11061047159069
0.9,0.42,0.6730278248911404,0.8712703696355621,0.631009226549191,0.9783069737997279,127.01778170227361
0.9,0.43,0.6729525662179588,0.8709986536092401,0.6309446644739406,0.9778056417950161,126.92519525837298
0.9,0.44,0.672877327518349,0.8707272623476239,0.6308801063711831,0.9773049988534536,126.83285012858029
0.9,0.45,0.6728021090400124,0.8704561954415735,0.6308155525276316,0.9768050438808833,126.74074530965592
0.9,0.46,0.6727269110294221,0.8701854524825652,0.6307510032286541,0.9763057757853034,126.64887980328702
0.9,0.47000000000000003,0.6726517337321157,0.8699150330626458,0.6306864587585963,0.9758071934767228,126.55725261547138
0.9,0.48,0.672576577391183,0.8696449367746781,0.6306219193991031,0.9753092958679052,126.46586275962035
0.9,0.49,0.6725014422479253,0.86937516321222,0.6305573854298513,0.9748120818740045,126.37470925515935
0.9,0.5,0.672426328542917,0.8691057119693756,0.6304928571297267,0.9743155504121049,126.283791125348
0.9,0.51,0.6723512365147816,0.8688365826409756,0.6304283347754658,0.973819700401771,126.19310739976501
0.9,0.52,0.6722761663999021,0.8685677748226278,0.6303638186413334,0.9733245307651982,126.10265711488948
0.9,0.53,0.6722011184338348,0.8682992881104912,0.6302993090006928,0.9728300404265235,126.01243931117278
0.9,0.54,0.6721260928507992,0.8680311221013568,0.6302348061254384,0.9723362283120736,125.9224530340703
0.9,0.55,0.6720510898824812,0.8677632763928382,0.6301703102846676,0.9718430933509367,125.83269733648358
0.9,0.56,0.6719761097595143,0.8674957505831348,0.6301058217463249,0.9713506344742437,125.74317127569391
0.9,0.5700000000000001,0.6719011527115974,0.8672285442710127,0.6300413407773316,0.9708588506151112,125.65387391310836
0.9,0.58,0.6718262189660259,0.8669616570560389,0.6299768676419559,0.9703677407093475,125.56480431725622
0.9,0.59,0.6717513087486173,0.866695088538433,0.6299124026028403,0.969877303695,125.4759615618651
0.9,0.6,0.6716764222844382,0.8664288383189508,0.6298479459218072,0.9693875385120059,125.38734472436121
0.9,0.61,0.6716015597966183,0.8661629059990742,0.6297834978585435,0.9688984441027592,125.29895288828028
0.9,0.62,0.6715267215063105,0.8658972911810151,0.6297190586705554,0.9684100194121267,125.2107851433281
0.9,0.625,0.6714893115041283,0.8657646027110052,0.6296868424850359,0.9681660578820761,125.1667850215567
0.9,0.63,0.6714519076339223,0.8656319934675207,0.6296546286145357,0.9679222633868528,125.12284058284591
0.9,0.64,0.6713771183984835,0.8653670124619726,0.6295902079456609,0.9674351749758622,125.03511830508722
0.9,0.65,0.6713023540167018,0.8651023477685382,0.6295257969165438,0.9669487531307099,124.94761741513223
0.9,0.66,0.6712276147043763,0.8648379989919437,0.6294613957788006,0.9664629968048989,124.86033702197726
0.9,0.67,0.6711529006763587,0.8645739657374804,0.6293970047830098,0.965977904953896,124.77327623860606
0.9,0.68,0.6710782121451903,0.8643102476112225,0.6293326241771977,0.9654934765357864,124.6864341847496
0.9,0.6900000000000001,0.6710035493221551,0.8640468442198578,0.629268254208007,0.9650097105107615,124.5998099847235
0.9,0.7000000000000001,0.6709289124178069,0.8637837551706028,0.6292038951212833,0.9645266058408644,124.51340276633482
0.9,0.71,0.6708543016407639,0.8635209800713961,0.6291395471607348,0.9640441614905672,124.42721166332761
0.9,0.72,0.6707797171979176,0.8632585185308636,0.6290752105681654,0.9635623764266664,124.34123581493516
0.9,0.73,0.670705159295479,0.8629963701581516,0.6290108855846355,0.9630812496177779,124.25547436373999
0.9,0.74,0.6706306281382404,0.8627345345630435,0.6289465724496426,0.9626007800346903,124.16992645715689
0.9,0.75,0.6705561239288895,0.8624730113560707,0.628882271400359,0.9621209666506894,124.08459124881492
0.9,0.76,0.6704816468693215,0.8622118001483006,0.628817982673089,0.9616418084409264,123.99946789587308
0.9,0.77,0.6704071971604623,0.8619509005513651,0.6287537065030722,0.9611633043824999,123.91455555936363
0.9,0.78,0.6703327750010418,0.8616903121776572,0.6286894431231212,0.9606854534550435,123.82985340667274
0.9,0.79,0.6702583805887197,0.86143003464015,0.6286251927648718,0.9602082546401794,123.74536060923445
0.9,0.8,0.6701840141204367,0.8611700675523392,0.6285609556591729,0.9597317069213511,123.66107634180766
0.9,0.81,0.6701096757912156,0.860910410528436,0.6284967320347538,0.9592558092843928,123.57699978489289
0.9,0.8200000000000001,0.6700353657945828,0.8606510631832984,0.6284325221186939,0.9587805607173256,123.49313012385942
0.9,0.8300000000000001,0.6699610843234313,0.8603920251322932,0.6283683261373796,0.9583059602099412,123.40946654718663
0.9,0.84,0.6698868315692019,0.8601332959914257,0.6283041443155959,0.957832006754192,123.32600824810586
0.9,0.85,0.669812607721447,0.8598748753774108,0.6282399768760402,0.9573586993443961,123.24275442547098
0.9,0.86,0.6697384129690183,0.8596167629074806,0.6281758240406431,0.9568860369766663,123.15970428133798
0.9,0.87,0.6696642474997705,0.859358958199432,0.6281116860302378,0.9564140186490503,123.07685702155574
0.9,0.875,0.669627175804443,0.8592301711368824,0.6280796226527529,0.9561782506878599,123.03550922681993
0.9,0.88,0.6695901114994954,0.8591014608717987,0.6280475630633768,0.955942643362037,122.99421185790143
0.9,0.89,0.6695160051530705,0.8588442705436642,0.6279834553576072,0.9554719101180035,122.91176800574925
0.9,0.9,0.6694419286446565,0.8585873868346308,0.6279193631296898,0.9550018179211205,122.82952468365735
0.9,0.91,0.6693678821565309,0.858330809365007,0.6278552865943036,0.9545323657779053,122.74748111571043
0.9,0.92,0.6692938658696822,0.8580745377557114,0.627791225964706,0.9540635526969342,122.6656365303026
0.9,0.93,0.6692198799645008,0.8578185716281598,0.6277271814534993,0.9535953776885125,122.58399015873911
0.9,0.9400000000000001,0.6691459246199002,0.8575629106044081,0.6276631532716546,0.9531278397650902,122.50254123698761
0.9,0.9500000000000001,0.6690720000131137,0.857307554307184,0.6275991416282866,0.9526609379413553,122.4212890060782
0.9,0.96,0.6689981063207485,0.857052502359716,0.6275351467318233,0.9521946712337287,122.34023270996555
0.9,0.97,0.6689242437183809,0.8567977543857992,0.6274711687895571,0.9517290386605561,122.25937159633521
0.9,0.98,0.6688504123796737,0.8565433100099371,0.6274072080066634,0.9512640392425249,122.17870491836288
0.9,0.99,0.668776612477502,0.8562891688571587,0.6273432645874518,0.9507996720021235,122.09823193243793
0.9,1.0,0.6687028441840193,0.8560353305530086,0.6272793387354391,0.9503359359636101,122.01795189802137
0.9,1.01,0.6686291076695476,0.8557817947237254,0.6272154306521157,0.9498728301535369,121.9378640798621
0.9,1.02,0.6685554031033054,0.855528560996123,0.6271515405377551,0.9494103536004012,121.8579677465205
0.9,1.03,0.6684817306539341,0.855275628997506,0.6270876685919982,0.9489485053343909,121.77826216930247
0.9,1.04,0.6684080904885874,0.8550229983558162,0.6270238150128405,0.9484872843878183,121.69874662407543
0.9,1.05,0.6683344827729344,0.8547706686996318,0.6269599799966381,0.9480266897951116,121.61942039124479
0.9,1.06,0.6682609076720787,0.8545186396580177,0.6268961637391254,0.9475667205923792,121.54028275390571
0.9,1.07,0.668187365350058,0.8542669108606072,0.6268323664348611,0.9471073758176439,121.46133299883401
0.9,1.08,0.6681138559691532,0.8540154819377122,0.6267685882764601,0.9466486545111659,121.38257041785292
0.9,1.09,0.6680403796909623,0.8537643525201496,0.626704829455786,0.9461905557149327,121.30399430567554
0.9,1.1,0.6679669366763492,0.853513522239249,0.6266410901638949,0.945733078472681,121.22560395999821
0.9,1.11,0.6678935270844144,0.8532629907270198,0.6265773705898905,0.9452762218303817,121.14739868354418
0.9,1.12,0.6678201510733159,0.8530127576160159,0.6265136709218375,0.9448199848358461,121.06937778241006
0.9,1.125,0.6677834757098676,0.8528877528462763,0.6264818286111624,0.9445920984093774,121.03043625642415
0.9,1.1300000000000001,0.6677468088006494,0.8527628225392755,0.6264499913471826,0.9443643665385464,120.99154056530165
0.9,1.1400000000000001,0.6676735004225202,0.8525131851304701,0.6263863320517237,0.9439093659900516,120.9138863453708
0.9,1.1500000000000001,0.6676002260937353,0.8522638450238738,0.6263226932198241,0.9434549822439313,120.83641443982107
0.9,1.16,0.6675269859686156,0.8520148018542354,0.6262590750353123,0.9430012143553886,120.75912416828798
0.9,1.17,0.6674537802002805,0.8517660552568732,0.6261954776806908,0.9425480613815302,120.68201485422315
0.9,1.18,0.6673806089403572,0.8515176048677545,0.6261319013368095,0.9420955223815959,120.60508582550496
0.9,1.19,0.6673074723398398,0.8512694503233332,0.6260683461838213,0.9416435964164884,120.52833641269122
0.9,1.2,0.6672343705489686,0.851021591260575,0.6260048124010489,0.941192282548842,120.45176594925486
0.9,1.21,0.667161303716306,0.8507740273171066,0.6259413001659562,0.9407415798434572,120.37537377341216
0.9,1.22,0.6670882719896095,0.850526758131074,0.6258778096551196,0.9402914873668852,120.29915922637461
0.9,1.23,0.6670152755160804,0.8502797833411015,0.6258143410445034,0.9398420041873087,120.223121651849
0.9,1.24,0.6669423144414425,0.8500331025864415,0.6257508945084364,0.9393931293749752,120.14726039785415
0.9,1.25,0.6668693889102901,0.8497867155069159,0.6256874702199985,0.9389448620020264,120.07157481601944
0.9,1.26,0.6667964990667303,0.849540621742812,0.6256240683517337,0.9384972011421957,119.9960642603015
0.9,1.27,0.6667236450537445,0.8492948209349876,0.6255606890749412,0.9380501458711062,119.92072808824253
0.9,1.28,0.6666508270128801,0.8490493127249181,0.6254973325593327,0.9376036952664136,119.84556566156816
0.9,1.29,0.6665780450851531,0.8488040967545512,0.6254339989740341,0.9371578484073767,119.77057634439166
0.9,1.3,0.6665052994108016,0.8485591726663451,0.6253706884873138,0.9367126043749742,119.69575950369283
0.9,1.31,0.6664325901284862,0.8483145401034,0.6253074012656912,0.9362679622522755,119.62111451089011
0.9,1.32,0.6663599173761761,0.8480701987093113,0.6252441374749236,0.935823921124021,119.54664074007738
0.9,1.33,0.6662872812912848,0.8478261481281488,0.6251808972801554,0.9353804800765597,119.47233756774901
0.9,1.34,0.6662146820097704,0.8475823880046022,0.6251176808449195,0.9349376381982647,119.39820437456599
0.9,1.35,0.6661421196666196,0.8473389179839014,0.6250544883316735,0.934495394579306,119.32424054439221
0.9,1.36,0.6660695943963556,0.8470957377117339,0.6249913199023657,0.9340537483114087,119.2504454632814
0.9,1.37,0.6659971063323544,0.8468528468343554,0.6249281757176737,0.9336126984881723,119.1768185208189
0.9,1.375,0.6659608762940029,0.8467315098083332,0.62489661276685,0.9333923969605933,119.1400679119186
0.9,1.3800000000000001,0.6659246556067143,0.8466102449986116,0.6248650559368604,0.9331722442051268,119.10335911036779
0.9,1.3900000000000001,0.6658522423510567,0.8463679318518054,0.6248019607186631,0.9327323845593573,119.03006662748338
0.9,1.4000000000000001,0.6657798666961962,0.846125907041752,0.6247388902209269,0.9322931186496559,118.9569404705541
0.9,1.41,0.6657075287714822,0.845884170216885,0.624675844599874,0.9318544455768263,118.88398004208818
0.9,1.42,0.6656352287056673,0.8456427210261147,0.6246128240110662,0.9314163644432745,118.81118474699628
0.9,1.43,0.6655629666269413,0.8454015591188216,0.6245498286094455,0.9309788743529921,118.73855399251677
0.9,1.44,0.6654907426620769,0.8451606841449959,0.6244868585483826,0.9305419744119523,118.66608718988506
0.9,1.45,0.6654185569370137,0.8449200957551418,0.6244239139803267,0.9301056637278337,118.59378375318036
0.9,1.46,0.6653464095772429,0.8446797936002133,0.6243609950572323,0.9296699414098388,118.52164309855785
0.9,1.47,0.6652743007070964,0.8444397773317311,0.6242981019297699,0.9292348065690249,118.44966464563993
0.9,1.48,0.6652022304497782,0.844200046601777,0.6242352347473602,0.9288002583182837,118.37784781744345
0.9,1.49,0.6651301989280576,0.8439606010628788,0.6241723936589443,0.928366295772018,118.30619203901267
0.9,1.5,0.6650582062638674,0.8437214403680765,0.6241095788125376,0.9279329180463259,118.23469673819913
0.9,1.51,0.6649862525777958,0.8434825641710061,0.6240467903546649,0.9275001242592342,118.16336134664922
0.9,1.52,0.6649143379899105,0.8432439721257621,0.6239840284312754,0.9270679135303136,118.09218529818256
0.9,1.53,0.6648424626197034,0.8430056638869073,0.6239212931876826,0.9266362849807007,118.02116802888963
0.9,1.54,0.6647706265853031,0.8427676391096017,0.6238585847676874,0.9262052377334627,117.95030897866957
0.9,1.55,0.6646988300041231,0.8425298974494954,0.6237959033142999,0.9257747709132924,117.87960758995015
0.9,1.56,0.6646270729931388,0.842292438562682,0.623733248970046,0.9253448836463789,117.8090633071396
0.9,1.57,0.6645553556681635,0.8420552621058188,0.623670621876163,0.9249155750607394,117.73867557803693
0.9,1.58,0.6644836781440213,0.8418183677360962,0.6236080221727928,0.9244868442861376,117.66844385348048
0.9,1.59,0.6644120405351355,0.8415817551111416,0.6235454499996333,0.9240586904538077,117.59836758619737
0.9,1.6,0.6643404429550657,0.8413454238890943,0.6234829054954266,0.9236311126966675,117.52844623169572
0.9,1.61,0.6642688855161496,0.8411093737286652,0.6234203887975589,0.9232041101494813,117.45867924895877
0.9,1.62,0.664197368330265,0.84087360428901,0.6233579000429079,0.922777681948503,117.38906609894707
0.9,1.625,0.6641616248670441,0.8407558247330805,0.6233266661869226,0.9225646829583293,117.35431704330695
