sigma,time,output_effective_labor,output_effective_labor_growth,output_per_person_growth,wage_growth,wage_productivity,net_interest,labor_income_share,ai_revenue_output_share,capability_frontier_ratio,ai_service_price,consumption_effective_labor,capital_effective_labor,consumption_effective_labor_growth,capital_effective_labor_growth,ai_services_effective_labor_growth,inference_output_share,research_output_share,profit_output_share,inference_revenue_share,research_revenue_share,profit_revenue_share
1.5,0.0,3514.7539742898484,-0.011387016915200455,-0.001387016915200455,0.0005413577351840158,174.99815193823778,0.03256884279165481,0.04978958789671642,0.6202104121032835,0.8999999999999999,0.0015470519287586523,1524.5811228590603,14047.294019153644,-0.017431157208345188,-0.02276055717553839,-0.006249545269851597,0.40002414972302597,0.005386179799840926,0.21480008258041663,0.6449813513553365,0.008684439497839268,0.3463342091468242
1.5,0.01,3514.353860173603,-0.011381967538932657,-0.0013819675389326572,0.0005458945438360208,174.9816042413164,0.03257823138211227,0.049790547908192886,0.620209452091807,0.9000482894682895,0.0015469700832037804,1524.3154654485447,14044.097995885464,-0.017421768617887728,-0.022748378038083675,-0.006247893793452605,0.4000232313483172,0.005382919564496811,0.214803301178993,0.6449808689615124,0.008679196272068423,0.3463399347664191
1.5,0.02,3513.9539690206307,-0.011376919023915045,-0.0013769190239150443,0.0005504298657727984,174.96506604556515,0.03258761515412738,0.0497915076828196,0.6202084923171803,0.9000965504491062,0.0015468882951051182,1524.0499973776346,14040.904409368406,-0.01741238484587262,-0.022736205320128725,-0.006246240282519993,0.4000223132011099,0.005379661879834722,0.2148065172362357,0.6449803866866995,0.008673957139373568,0.34634565617392676
1.5,0.03,3513.5543007358115,-0.011371871371865995,-0.0013718713718659944,0.0005549637007446527,174.9485373460171,0.032596994110397376,0.049792467220267304,0.6202075327797326,0.9001447829629097,0.0015468065644100965,1523.7847184905022,14037.71325737461,-0.017403005889602623,-0.022724039017935134,-0.006244584741802673,0.40002139528172004,0.005376406743305377,0.2148097307547072,0.6449799045310661,0.008668722095664732,0.34635137337326916
1.5,0.04,3513.1548552238983,-0.01136682458449954,-0.0013668245844995403,0.0005594960485038019,174.9320181377039,0.032606368253617554,0.04979342652020821,0.6202065734797917,0.9001929870301455,0.001546724891066205,1523.5196286314324,14034.524537678315,-0.017393631746382445,-0.02271187912776613,-0.0062429271760417356,0.40002047759046133,0.005373154152362378,0.21481294173696797,0.6449794224947784,0.008663491136856601,0.34635708636836504
1.5,0.05,3512.7556323894823,-0.011361778663527645,-0.0013617786635276448,0.0005640269088028091,174.9155084156528,0.03261573758648183,0.04979438558231561,0.6202056144176843,0.9002411626712444,0.0015466432750210022,1523.2547276448272,14031.338248055625,-0.017384262413518172,-0.02269972564588918,-0.006241267589972722,0.4000195601276435,0.005369904104462501,0.2148161501855783,0.6449789405779967,0.008658264258868963,0.3463627951631344
1.5,0.06,3512.3566321371636,-0.011356733610654927,-0.0013567336106549257,0.0005685562813981979,174.8990081748945,0.03262510211168512,0.049795344406263695,0.6202046555937363,0.9002893099066237,0.0015465617162220813,1522.990015375215,14028.154386284787,-0.017374897888314877,-0.022687578568570142,-0.006239605988320254,0.4000186428935795,0.0053666565970652115,0.21481935610309155,0.6449784587808881,0.00865304145762593,0.346368499761486
1.5,0.07,3511.9578543714233,-0.011351689427582084,-0.001351689427582084,0.0005730841660480887,174.88251741045627,0.03263446183192126,0.04979630299172741,0.6202036970082725,0.9003374287566857,0.001546480214617101,1522.725491667233,14024.972950146022,-0.01736553816807874,-0.02267543789207708,-0.006237942375801483,0.40001772588858003,0.0053634116276330334,0.21482255949205942,0.6449779771036167,0.008647822729056539,0.3463742001673267
1.5,0.08,3511.5592989965294,-0.011346646116008274,-0.0013466461160082746,0.0005776105625106213,174.8660361173621,0.03264381674988141,0.04979726133838384,0.6202027386616161,0.9003855192418186,0.0015463987701537848,1522.4611563656401,14021.793937421431,-0.017356183250118586,-0.0226633036126827,-0.006236276757128665,0.4000168091129511,0.005360169193631486,0.2148257603550335,0.6449774955463412,0.008642608069094653,0.34637989638456423
1.5,0.09,3511.160965916723,-0.011341603677627914,-0.001341603677627914,0.0005821354705461033,174.84956429063564,0.032653166868256756,0.04979821944591038,0.6202017805540896,0.9004335813823968,0.0015463173827798989,1522.197009315316,14018.617345895249,-0.017346833131743244,-0.02265117572666102,-0.00623460913700577,0.4000158925670018,0.005356929292529037,0.21482895869455873,0.6449770141092255,0.00863739747367888,0.34638558841709566
